,Start date,Start station number,End station number,Bike model,Total duration (m),Start time,start_coordinates,end_coordinates,public_transport,cycling
0,20250131,1142,988,CLASSIC,36,2359,"51.5034938,-0.07962099","51.51772703,-0.127854211",38.0,19.0
1,20250131,1142,988,CLASSIC,36,2359,"51.5034938,-0.07962099","51.51772703,-0.127854211",38.0,19.0
2,20250131,300061,300024,CLASSIC,20,2359,"51.495598,-0.078893","51.53658514,-0.075885686",35.0,25.0
3,20250131,300058,300076,CLASSIC,4,2359,"51.48512191,-0.174971902","51.4795738,-0.17903854",9.0,4.0
4,20250201,300038,300037,CLASSIC,12,0000,"51.48724429,-0.205279052","51.49422354,-0.236769936",20.0,11.0
5,20250131,1201,200002,PBSC_EBIKE,21,2359,"51.51444134,-0.087587447","51.515975,-0.053177",23.0,13.0
6,20250131,200012,1031,CLASSIC,11,2358,"51.521889,-0.04667","51.507131,-0.06691",25.0,11.0
7,20250131,200182,1016,PBSC_EBIKE,17,2358,"51.48373225,-0.223852256","51.513735,-0.193487",32.0,21.0
8,20250131,2587,2679,PBSC_EBIKE,8,2358,"51.51615461,-0.082422399","51.498585,-0.068981764",17.0,11.0
9,20250131,300012,300052,CLASSIC,2,2357,"51.4737636,-0.197010096","51.475089,-0.201968",8.0,4.0
10,20250131,3445,200158,CLASSIC,4,2357,"51.5263778,-0.078130921","51.534464,-0.076341",8.0,3.0
11,20250131,3455,1062,PBSC_EBIKE,12,2357,"51.511726,-0.11385596","51.51423368,-0.073537654",22.0,13.0
12,20250131,300074,3482,PBSC_EBIKE,8,2357,"51.51612862,-0.120909408","51.52200801,-0.151359288",27.0,12.0
13,20250131,200222,1079,PBSC_EBIKE,27,2356,"51.48256792,-0.172078187","51.52683806,-0.130504336",39.0,32.0
14,20250131,1107,3459,CLASSIC,3,2356,"51.49418566,-0.18267094","51.4916156,-0.186753859",7.0,1.0
15,20250131,3444,300236,PBSC_EBIKE,18,2356,"51.49159394,-0.192369256","51.5212,-0.208888173",36.0,21.0
16,20250131,1183,300073,CLASSIC,15,2356,"51.49016361,-0.19039362","51.47515398,-0.159169801",33.0,12.0
17,20250131,200250,200102,CLASSIC,5,2355,"51.520893,-0.051394","51.521564,-0.039264",7.0,3.0
18,20250131,1226,300076,PBSC_EBIKE,33,2355,"51.529423,-0.097122","51.4795738,-0.17903854",64.0,40.0
19,20250131,1116,300091,CLASSIC,8,2355,"51.49536226,-0.185296516","51.48176572,-0.185273723",24.0,7.0
