"Start date","Start station number","End station number","Bike model","Total duration (m)","New Start date","Start time","start_coordinates","end_coordinates"
"2025-01-31 23:59",1142,988,"CLASSIC",36,"20250523","2359","51.5034938,-0.07962099","51.51772703,-0.127854211"
"2025-01-31 23:59",1142,988,"CLASSIC",36,"20250523","2359","51.5034938,-0.07962099","51.51772703,-0.127854211"
"2025-01-31 23:59",300061,300024,"CLASSIC",20,"20250523","2359","51.495598,-0.078893","51.53658514,-0.075885686"
"2025-01-31 23:59",300058,300076,"CLASSIC",4,"20250523","2359","51.48512191,-0.174971902","51.4795738,-0.17903854"
"2025-02-01 00:00",300038,300037,"CLASSIC",12,"20250517","0000","51.48724429,-0.205279052","51.49422354,-0.236769936"
"2025-01-31 23:59",1201,200002,"PBSC_EBIKE",21,"20250523","2359","51.51444134,-0.087587447","51.515975,-0.053177"
"2025-01-31 23:58",200012,1031,"CLASSIC",11,"20250523","2358","51.521889,-0.04667","51.507131,-0.06691"
"2025-01-31 23:58",200182,1016,"PBSC_EBIKE",17,"20250523","2358","51.48373225,-0.223852256","51.513735,-0.193487"
"2025-01-31 23:58",2587,2679,"PBSC_EBIKE",8,"20250523","2358","51.51615461,-0.082422399","51.498585,-0.068981764"
"2025-01-31 23:57",300012,300052,"CLASSIC",2,"20250523","2357","51.4737636,-0.197010096","51.475089,-0.201968"
"2025-01-31 23:57",3445,200158,"CLASSIC",4,"20250523","2357","51.5263778,-0.078130921","51.534464,-0.076341"
"2025-01-31 23:57",3455,1062,"PBSC_EBIKE",12,"20250523","2357","51.511726,-0.11385596","51.51423368,-0.073537654"
"2025-01-31 23:57",300074,3482,"PBSC_EBIKE",8,"20250523","2357","51.51612862,-0.120909408","51.52200801,-0.151359288"
"2025-01-31 23:56",200222,1079,"PBSC_EBIKE",27,"20250523","2356","51.48256792,-0.172078187","51.52683806,-0.130504336"
"2025-01-31 23:56",1107,3459,"CLASSIC",3,"20250523","2356","51.49418566,-0.18267094","51.4916156,-0.186753859"
"2025-01-31 23:56",3444,300236,"PBSC_EBIKE",18,"20250523","2356","51.49159394,-0.192369256","51.5212,-0.208888173"
"2025-01-31 23:56",1183,300073,"CLASSIC",15,"20250523","2356","51.49016361,-0.19039362","51.47515398,-0.159169801"
