,Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms)
0,146028038,2025-01-31 23:59:00,1142,"Tooley Street, Bermondsey",2025-02-01 00:35,988,"Great Russell Street, Bloomsbury",22507,CLASSIC,36m 8s,2168663
1,146028039,2025-01-31 23:59:00,1142,"Tooley Street, Bermondsey",2025-02-01 00:35,988,"Great Russell Street, Bloomsbury",22066,CLASSIC,36m 14s,2174536
2,146028040,2025-01-31 23:59:00,300061,"Crimscott Street, Bermondsey",2025-02-01 00:19,300024,"Dunston Road , Haggerston",53875,CLASSIC,20m 11s,1211944
3,146028041,2025-01-31 23:59:00,300058,"The Vale, Chelsea",2025-02-01 00:03,300076,"Lots Road, West Chelsea",54808,CLASSIC,4m 32s,272960
4,146028042,2025-02-01 00:00:00,300038,"Star Road, West Kensington",2025-02-01 00:12,300037,"Ravenscourt Park Station, Hammersmith",51308,CLASSIC,12m 54s,774703
5,146028043,2025-01-31 23:59:00,1201,"Bank of England Museum, Bank",2025-02-01 00:21,200002,"Jubilee Street, Stepney",63459,PBSC_EBIKE,21m 35s,1295122
6,146028035,2025-01-31 23:58:00,200012,"Stepney Green Station, Stepney",2025-02-01 00:10,1031,"Nesham Street, Wapping",50347,CLASSIC,11m 53s,713971
7,146028036,2025-01-31 23:58:00,200182,"Rainville Road, Hammersmith",2025-02-01 00:16,1016,"Hereford Road, Bayswater",60118,PBSC_EBIKE,17m 59s,1079834
8,146028037,2025-01-31 23:58:00,2587,"Wormwood Street, Liverpool Street",2025-02-01 00:07,2679,"George Row, Bermondsey",62386,PBSC_EBIKE,8m 55s,535808
9,146028030,2025-01-31 23:57:00,300012,"Irene Road, Parsons Green",2025-01-31 23:59,300052,"Parsons Green Station, Parsons Green",59986,CLASSIC,2m 44s,164816
